name,screen_name,followers_count,friends_count,lang,location,occupation,profile_image_url,url,updated_at
King Promise,IamKingPromise,1515623,652,en,"Ghana, Worldwide.",Afrobeats musician,http://pbs.twimg.com/profile_images/1517644815541932032/jcM_bZBe_normal.jpg,http://www.kingpromise.lnk.to/Ginger,2022-05-08 03:14:13
Atif Aslam,itsaadee,1426951,,en,"Lahore, Pakistan",Bollywood musician,http://pbs.twimg.com/profile_images/676090874703585280/EYWaA1vs_normal.jpg,http://www.aadeez.com/,2022-05-03 10:11:17
Omah Lay,Omah_Lay,1418304,204,en,ALone,"Afrobeats musician
",http://pbs.twimg.com/profile_images/1492733763775721473/hPJ63n2q_normal.jpg,http://omahlay.com,2022-05-11 17:51:23
三崎優太(Yuta Misaki) 青汁王子,misakism13,1417795,68,ja,5/10 22時45分(15分変更) YouTubeLive,K-pop musician,http://pbs.twimg.com/profile_images/1463075024144072704/tdthjyUW_normal.jpg,"https://www.youtube.com/channel/UCJFzpJDW1yyaCBUZxmAz-3g,https://www.instagram.com/yuta_misaki/",2022-05-12 02:50:42
Bob Marley,bobmarley,1408577,55,en,,Reggae musician,http://pbs.twimg.com/profile_images/1345098814969974784/bXiRjVbT_normal.jpg,http://bobmarley.com,2022-05-10 08:50:37
星野源 Gen Hoshino,gen_senden,1407185,,ja,,K-pop musician,http://pbs.twimg.com/profile_images/1511267398061801473/3fsUwTlZ_normal.jpg,"http://hoshinogen.com,http://instagram.com/iamgenhoshino/",2022-05-12 13:50:24
ARMAAN MALIK,ArmaanMalik22,1387405,2783,en,,Bollywood musician,http://pbs.twimg.com/profile_images/1523370549220577280/oUllXlhT_normal.jpg,,2022-05-12 11:50:56
Keith Richards,officialKeef,1310404,48,en,,Blues rock musician,http://pbs.twimg.com/profile_images/925768757716373504/3SwABEqS_normal.jpg,https://keithrichardsBMG.lnk.to/mo30TW,2022-05-12 12:50:23
Tim Pool,Timcast,1278818,788,en,"Washington, DC",,http://pbs.twimg.com/profile_images/1522243929978114049/_J1x0NWG_normal.jpg,http://Youtube.com/TimcastIRL,2022-05-12 08:50:40
Katherine Heigl,KatieHeigl,1269533,121,,"Utah, USA",,http://pbs.twimg.com/profile_images/986316543582703616/V59JxfPD_normal.jpg,https://katherineheigl.info,2022-05-12 11:50:40
Lord KiDi,KiDiMusic,1262520,514,en,"Accra, Ghana",Afrobeats musician,http://pbs.twimg.com/profile_images/1493662801423917057/hnOUPD-j_normal.jpg,https://music.empi.re/thegoldenboy,2022-05-12 11:11:09
Neha Kakkar,iAmNehaKakkar,1262495,156,,Mumbai,Bollywood musician,http://pbs.twimg.com/profile_images/1247433861480370176/NJTfV1eu_normal.jpg,,2022-05-12 11:50:56
Flavour of Africa,2niteFlavour,1260195,578,,Worldwide,,http://pbs.twimg.com/profile_images/1330915315107188743/dZGXP0SF_normal.jpg,https://youtu.be/xZsojox79ig,2022-05-11 11:50:52
SIMBA..!🦁,diamondplatnumz,1206765,170,en,,,http://pbs.twimg.com/profile_images/1499459288602923042/0WwpREsI_normal.jpg,"https://dplatnumz.lnk.to/foa,https://youtu.be/QOGi0Qp_ciA",2022-05-11 08:50:59
JenniePanhan,JenniePanhan,1203562,230,,,K-pop musician,http://pbs.twimg.com/profile_images/1160995157715480576/jx19EvpH_normal.jpg,https://www.youtube.com/channel/UCTN2Ze0wCbZtBsrKwlddbWA,2022-05-12 05:50:46
George Harrison,GeorgeHarrison,1199083,25,,,Rock musician,http://pbs.twimg.com/profile_images/1402961808969715716/BSeaY7o0_normal.jpg,https://georgeharrison.lnk.to/AllThingsMustPassDeluxe,2022-05-11 22:51:00
Lauv,lauvsongs,1191988,843,en,,Pop musician,http://pbs.twimg.com/profile_images/1512240222205054979/-Xl3Ci8f_normal.jpg,https://lauv.lnk.to/all4nothing,2022-05-11 21:50:36
ZAHEER!,iam_YCee,1188499,819,en,Westside Africa,,http://pbs.twimg.com/profile_images/1487906179879780362/j-kIllyW_normal.jpg,https://onerpm.lnk.to/LoveDrunk,2022-05-07 21:50:22
Kuami Eugene,KuamiEugene,1179385,66,en,Accra Ghana,Afrobeats musician,http://pbs.twimg.com/profile_images/1446256413483937799/xqsow6nu_normal.jpg,https://en.m.wikipedia.org/wiki/Kuami_Eugene,2022-05-10 19:51:11
Dwayne DJ Bravo,DJBravo47,1172698,171,,,,http://pbs.twimg.com/profile_images/1311457233759240196/loTO0FhG_normal.jpg,https://1xregister.co/3GBLesD,2022-05-12 08:50:20
Jojo Todynho 💥,jojotodynhoofc,1149879,528,pt,Brasil,Pop musician,http://pbs.twimg.com/profile_images/1336510981896331267/JeNQC9fg_normal.jpg,https://fpt.fm/app/32775/faixa-rosa,2022-05-12 07:51:10
Vernon Kay,vernonkay,1148822,3384,,UK,K-pop musician,http://pbs.twimg.com/profile_images/663494897404612608/XQ5qPcuP_normal.jpg,,2022-05-12 12:50:33
Wendy Shay,wendyshaygh,1121537,52,en,Germany,,http://pbs.twimg.com/profile_images/1433040712946393097/Wl7dHU4C_normal.jpg,https://yve.fanlink.to/bmw,2022-05-05 20:51:01
TINASHE ³³³,Tinashe,1121081,93556,en,,R&B and soul musician,http://pbs.twimg.com/profile_images/1491802509786050570/ivVRbV_q_normal.jpg,https://ffm.to/k1lnb5x,2022-05-12 11:51:13
Elton John,eltonofficial,1107955,23,en,"London, UK",Pop musician,http://pbs.twimg.com/profile_images/956225427135221765/oEPnGrkJ_normal.jpg,http://eltonjohn.komi.io,2022-05-12 13:51:11
Kelsea Ballerini,KelseaBallerini,1097570,532,,"Nashville, TN",Country musician,http://pbs.twimg.com/profile_images/1512281024935473154/glszunmK_normal.jpg,https://linktr.ee/kelseaballerini,2022-05-12 01:50:23
Temsa7LY,Temsa7LY,1083529,176,,🇧🇷 ,Afrobeats musician,http://pbs.twimg.com/profile_images/712697624940425218/VKBCPTeY_normal.jpg,http://www.youtube.com/user/Temsa7LY,2022-04-14 17:56:44
Scott Dworkin,funder,1074665,88749,en,"Washington, DC",,http://pbs.twimg.com/profile_images/843990001532764160/yjMRQs74_normal.jpg,https://linktr.ee/Dworkin,2022-05-11 08:50:22
@soundsultan,Soundsultan,1046115,4617,en,"ÜT: 8.164828,4.256692",,http://pbs.twimg.com/profile_images/1401799533949075457/XzjtHwny_normal.jpg,https://fanlink.to/8thwondah,2022-05-11 16:50:21
KALI UCHIS,KALIUCHIS,1041534,112,en,In my own world,R&B musician,http://pbs.twimg.com/profile_images/1505199812194586626/0cLqLvWI_normal.jpg,http://KaliUchis.lnk.to/EnVivo,2022-05-11 16:50:20
KO,KOlusola,1019662,1634,,IG: KOlusola,,http://pbs.twimg.com/profile_images/1290723210112012288/Qzo-Pv_K_normal.jpg,https://imaginefaithtalk.com/,2022-05-09 02:51:01
Mike Shinoda,mikeshinoda,1018501,754,en,,Rock musician,http://pbs.twimg.com/profile_images/1514816263381389312/rNUq_dmW_normal.jpg,"http://ziggurats.xyz,http://twitch.tv/OfficialMikeSh,http://Instagram.com/m_shinoda,http://Discord.gg/MikeShinoda",2022-05-11 14:50:28
Tim Kaine,timkaine,996201,773,en,"Richmond, VA",,http://pbs.twimg.com/profile_images/922472118377476096/XqCk_uDv_normal.jpg,http://timkaine.com,2022-05-12 13:50:27
Hozier,Hozier,953074,650,en,"Dublin, Ireland",Alternative musician,http://pbs.twimg.com/profile_images/1452944802132238337/emGBvYvc_normal.jpg,https://hozier.lnk.to/TITMH,2022-05-09 02:51:09
Shania Twain 💎,ShaniaTwain,950892,569,en,"Timmins, Ontario",Country musician,http://pbs.twimg.com/profile_images/1397538268275687428/dN-ZgEnD_normal.jpg,https://shaniatwain.com/vegas,2022-05-12 02:50:36
Luke Combs 🎤,lukecombs,935046,618,en,"Nashville, TN",Country musician,http://pbs.twimg.com/profile_images/1516812675585560583/_WDXaTdK_normal.jpg,"http://linktr.ee/lukecombs,http://lc.lnk.to/growinup",2022-05-12 01:50:23
Celine Dion,celinedion,923330,99,fr,,Pop musician,http://pbs.twimg.com/profile_images/1174291945390317568/aDsVwPW8_normal.jpg,https://boutique.celinedion.com/,2022-05-12 09:50:58
김동률 KIM DONGRYUL,dongryulkim,897770,,,,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,2022-05-10 10:50:15
Jonah Marais,JonahMarais,889632,12859,en,"Los Angeles, CA",Pop musician,http://pbs.twimg.com/profile_images/1518937434574270465/9yYCTvle_normal.jpg,https://WhyDontWe.lnk.to/LetMeDownEasyTA,2022-05-05 17:51:01
Can Bonomo 🌸☮️ bonomo.eth,canbonomo,888736,884,,,,http://pbs.twimg.com/profile_images/1522462881924763649/CyKGmsD6_normal.jpg,http://www.canbonomo.com,2022-05-08 18:51:10
